City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,sinabang,2.4803,96.3801,81.34,77,47,3.06,ID,1707857171
121,tromso,69.6496,18.957,26.62,50,0,10.36,NO,1707857171
122,labytnangi,66.6572,66.4183,-24.25,97,49,4.5,RU,1707857171
123,eynesil,41.0645,39.1438,56.95,61,98,5.79,TR,1707857171
124,baukau,51.5526,7.2042,48.06,76,100,10.98,DE,1707857172
125,vilyuchinsk,52.9306,158.4028,-4.07,82,13,6.96,RU,1707857172
126,san patricio,28.017,-97.5169,70.52,39,89,11.63,US,1707857172
127,rice lake,45.5061,-91.7382,34.65,55,100,4.61,US,1707857172
128,wailua homesteads,22.0669,-159.378,76.12,73,0,5.75,US,1707857172
129,sinjar,36.3209,41.8754,54.93,62,100,8.16,IQ,1707857172
130,jiuquan,39.7432,98.5174,24.19,43,100,5.21,CN,1707857172
131,talnakh,69.4865,88.3972,-28.84,91,20,4.74,RU,1707857172
132,kandiari,26.9156,68.5216,64.22,16,1,5.03,PK,1707857173
133,shenjiamen,29.9576,122.298,52.7,87,94,5.64,CN,1707857173
134,alofi,-19.0595,-169.9187,82.29,74,40,11.5,NU,1707857173
135,edinburgh of the seven seas,-37.0676,-12.3116,64.53,80,52,7.92,SH,1707857173
136,rongelap,11.1635,166.8941,79.23,63,81,19.01,MH,1707857173
137,kone,-21.0595,164.8658,81.54,75,0,4.09,NC,1707857173
138,east london,-33.0153,27.9116,70.57,82,9,6.49,ZA,1707857174
139,rio gallegos,-51.6226,-69.2181,68.05,56,20,12.66,AR,1707857174
140,plettenberg bay,-34.0527,23.3716,65.95,92,8,6.31,ZA,1707857174
141,kristiansund,63.1115,7.732,38.05,52,40,6.91,NO,1707857174
142,chippewa falls,44.9369,-91.3929,36.84,54,100,6.91,US,1707857174
143,afaahiti,-17.75,-149.2833,84.07,91,100,25.84,PF,1707857174
144,veraval,20.9,70.3667,72.14,27,100,11.27,IN,1707857174
145,nadym,65.5333,72.5167,-35.28,97,21,7.74,RU,1707857175
146,happy valley-goose bay,53.3168,-60.3315,26.91,93,100,4.61,CA,1707857175
147,klyuchi,52.2667,79.1667,17.47,66,100,20.42,RU,1707857175
148,santiago de cao,-7.9589,-79.2392,78.93,73,13,11.5,PE,1707857175
149,mossel bay,-34.1831,22.146,69.73,90,14,9.44,ZA,1707857175
150,urangan,-25.3,152.9,75.2,96,15,5.99,AU,1707857175
151,constantia,44.1833,28.65,45.7,81,100,9.51,RO,1707857175
152,faya-largeau,17.9257,19.1043,73.76,15,0,12.55,TD,1707857176
153,imbituba,-28.24,-48.6703,75.49,94,100,8.93,BR,1707857176
154,kupino,54.3663,77.2981,18.99,76,100,22.06,RU,1707857176
155,lesnoy,57.6198,63.0784,-1.93,90,100,16.75,RU,1707857176
156,poltavka,54.3663,71.7632,24.01,95,100,16.91,RU,1707857176
157,lufilufi,-13.8745,-171.5986,82.18,85,100,16.49,WS,1707857176
158,darwin,-12.4611,130.8418,75.18,94,75,10.36,AU,1707857176
159,island harbour,50.724,-1.2758,54.16,94,100,7.0,GB,1707857177
160,aral,40.5156,81.2636,30.65,55,0,8.72,CN,1707857177
161,okazaki,34.95,137.1667,42.71,71,0,4.07,JP,1707857177
162,fortaleza,-3.7227,-38.5247,85.06,89,75,9.22,BR,1707857177
163,palmer,42.1584,-72.3287,36.63,75,100,14.97,US,1707857177
164,lompoc,34.6391,-120.4579,68.02,67,0,11.5,US,1707857177
165,pathein,16.7833,94.7333,68.52,79,0,5.53,MM,1707857178
166,fukuecho,32.6881,128.8419,60.46,75,100,11.12,JP,1707857178
